CountyFIPS	State.Code	Region	Full.Name	AsWeightedAvg20062011	AsWeightedAvg20082010	SbWeightedAvg20062011	SbWeightedAvg20082010	BaWeightedAvg20062011	BaWeightedAvg20082010	BeWeightedAvg20062011	BeWeightedAvg20082010	CdWeightedAvg20062011	CdWeightedAvg20082010	CrWeightedAvg20062011	CrWeightedAvg20082010	HgWeightedAvg20062011	HgWeightedAvg20082010	SeWeightedAvg20062011	SeWeightedAvg20082010	TlWeightedAvg20062011	TlWeightedAvg20082010	CNWeightedAvg20062011	CNWeightedAvg20082010	UWeightedAvg20002011	UWeightedAvg20082011
01001	AL	SE	"AL,AUTAUGA"	0.35	0.35	0.28	0.28	33.83	30.01	0.14	0.14	0.04	0.04	0.06	0.06	0.14	0.14	0.42	0.42	0.21	0.21	3.54	3.54		
01003	AL	SE	"AL,BALDWIN"	0.39	0.37	0.28	0.28	16.2	8.72	0.14	0.14	0.04	0.04	0.06	0.06	0.14	0.14	0.42	0.42	0.21	0.21	3.56	3.54	999999	999999
01005	AL	SE	"AL,BARBOUR"	0.35	0.35	0.32	0.28	3.82	2.14	0.14	0.14	0.04	0.04	0.06	0.06	0.14	0.14	0.42	0.42	0.21	0.21	3.57	3.59	999999	999999
01007	AL	SE	"AL,BIBB"	0.35	0.35	0.28	0.28	27.81	28.75	0.14	0.14	0.04	0.04	0.06	0.06	0.14	0.14	0.42	0.42	0.21	0.21	3.54	3.54		
01009	AL	SE	"AL,BLOUNT"	0.37	0.37	0.28	0.28	93.81	79.79	0.14	0.14	0.04	0.04	0.5	0.39	0.15	0.14	0.46	0.42	0.21	0.21	4.99	6.45		
01011	AL	SE	"AL,BULLOCK"	0.35	0.35	0.28	0.28	0.62	0.7	0.14	0.14	0.04	0.04	0.06	0.06	0.14	0.14	0.42	0.42	0.44	0.21	3.54	3.54		
01013	AL	SE	"AL,BUTLER"	0.35	0.35	0.28	0.28	0.68	0.79	0.14	0.14	0.05	0.04	0.06	0.06	0.14	0.14	0.42	0.42	0.21	0.21	3.54	3.54		
01015	AL	SE	"AL,CALHOUN"	0.36	0.37	0.28	0.28	14.07	17.65	0.14	0.14	0.04	0.04	0.53	1.01	0.14	0.14	0.42	0.42	0.21	0.21	3.54	3.54		
01017	AL	SE	"AL,CHAMBERS"	0.35	0.35	0.28	0.28	9.11	13.4	0.14	0.15	0.04	0.04	0.06	0.06	0.14	0.14	0.42	0.42	0.3	0.39	3.54	3.54		
01019	AL	SE	"AL,CHEROKEE"	0.35	0.35	0.28	0.28	7.6	4.12	0.14	0.14	0.04	0.04	0.06	0.06	0.14	0.14	0.42	0.42	0.21	0.21	3.54	3.54		
01021	AL	SE	"AL,CHILTON"	0.35	0.35	0.28	0.28	40.18	45.14	0.14	0.14	0.04	0.04	0.06	0.06	0.14	0.14	0.42	0.42	0.21	0.21	3.54	3.54		
01023	AL	SE	"AL,CHOCTAW"	0.35	0.35	0.28	0.28	0.57	0.57	0.14	0.14	0.04	0.04	0.06	0.06	0.14	0.14	0.42	0.42	0.21	0.21	3.54	3.54		
01025	AL	SE	"AL,CLARKE"	0.35	0.35	0.28	0.28	0.57	0.57	0.14	0.14	0.04	0.04	0.06	0.06	0.14	0.14	0.42	0.42	0.21	0.21	3.54	3.54		
01027	AL	SE	"AL,CLAY"	0.35	0.35	0.28	0.28	35.76	27.33	0.15	0.16	0.86	0.04	0.06	0.06	0.14	0.14	0.42	0.42	0.21	0.21	3.54	3.54		
01029	AL	SE	"AL,CLEBURNE"	0.35	0.35	0.28	0.28	0.57	0.57	0.14	0.14	0.04	0.04	0.06	0.06	0.14	0.14	0.42	0.42	0.21	0.21	3.54	3.54		
01031	AL	SE	"AL,COFFEE"	0.35	0.35	0.28	0.28	2.74	4.06	0.14	0.14	0.04	0.04	0.06	0.06	0.14	0.14	0.42	0.42	0.21	0.21	3.77	3.83		
01033	AL	SE	"AL,COLBERT"	0.39	0.41	0.28	0.28	7.51	7.13	0.14	0.14	0.04	0.04	0.51	0.67	0.14	0.14	0.54	0.55	0.21	0.21	3.54	3.54		
01035	AL	SE	"AL,CONECUH"	0.35	0.35	0.28	0.28	2.65	4.89	0.14	0.14	0.04	0.04	0.06	0.06	0.14	0.14	0.42	0.42	0.21	0.21	3.83	3.54	999999	999999
01037	AL	SE	"AL,COOSA"	0.35	0.35	0.28	0.28	0.57	0.57	0.14	0.14	0.04	0.04	0.06	0.06	0.14	0.14	0.42	0.42	0.21	0.21	3.54	3.54		
01039	AL	SE	"AL,COVINGTON"	0.39	0.42	0.28	0.28	2.1	2.43	0.15	0.15	0.04	0.04	0.18	0.09	0.14	0.14	0.42	0.42	0.21	0.21	5.03	3.54		
01041	AL	SE	"AL,CRENSHAW"	0.35	0.35	0.28	0.28	3.35	1.7	0.14	0.14	0.04	0.04	0.06	0.06	0.14	0.14	0.42	0.42	0.21	0.21	3.54	3.54		
01043	AL	SE	"AL,CULLMAN"	0.52	0.66	0.28	0.28	128.62	131.74	0.14	0.14	0.04	0.04	0.66	1.27	0.14	0.14	0.72	1.03	0.21	0.21	3.54	3.54		
01045	AL	SE	"AL,DALE"	0.35	0.35	0.29	0.3	2.64	2.02	0.14	0.14	0.04	0.04	0.06	0.06	0.14	0.14	0.42	0.43	0.22	0.23	3.89	3.54		
01047	AL	SE	"AL,DALLAS"	0.35	0.35	0.28	0.28	96.61	101.75	0.14	0.14	0.04	0.04	0.06	0.06	0.14	0.14	0.42	0.42	0.21	0.21	3.64	3.54		
01049	AL	SE	"AL,DEKALB"	0.4	0.43	0.28	0.28	13.77	11.5	0.14	0.14	0.04	0.04	0.45	0.76	0.14	0.14	0.52	0.57	0.21	0.21	3.54	3.54		
01051	AL	SE	"AL,ELMORE"	0.35	0.35	0.28	0.28	11.63	14.66	0.15	0.16	0.04	0.04	0.07	0.06	0.14	0.14	0.42	0.42	0.21	0.21	3.7	3.54		
01053	AL	SE	"AL,ESCAMBIA"	0.35	0.35	0.28	0.28	8.17	9.43	0.18	0.14	0.04	0.04	0.64	0.06	0.14	0.14	0.42	0.42	0.21	0.21	3.54	3.54	999999	999999
01055	AL	SE	"AL,ETOWAH"	0.35	0.35	0.28	0.28	24.51	25.61	0.14	0.14	0.04	0.04	0.19	0.31	0.14	0.14	0.65	0.42	0.21	0.21	3.54	3.54		
01057	AL	SE	"AL,FAYETTE"	0.35	0.35	0.28	0.28	0.57	0.57	0.14	0.14	0.04	0.04	0.06	0.06	0.14	0.14	0.42	0.42	0.21	0.21	3.54	3.54		
01059	AL	SE	"AL,FRANKLIN"	0.35	0.35	0.28	0.28	7.11	8.09	0.14	0.14	0.09	0.04	0.06	0.06	0.14	0.14	0.42	0.42	0.21	0.21	3.54	3.54		
01061	AL	SE	"AL,GENEVA"	0.35	0.35	0.28	0.28	3.13	5.69	0.14	0.14	0.07	0.04	0.06	0.06	0.14	0.14	0.42	0.42	0.21	0.21	3.54	3.54		
01063	AL	SE	"AL,GREENE"	0.35	0.35	0.28	0.28	50	36.16	0.14	0.14	0.04	0.04	0.06	0.06	0.14	0.14	0.42	0.42	0.21	0.21	3.54	3.54		
01065	AL	SE	"AL,HALE"	0.35	0.35	0.28	0.28	70.8	75.31	0.17	0.14	0.08	0.04	0.06	0.06	0.14	0.14	0.42	0.42	0.21	0.21	3.54	3.54		
01067	AL	SE	"AL,HENRY"	0.35	0.35	0.28	0.28	0.57	0.57	0.14	0.14	0.04	0.04	0.06	0.06	0.14	0.14	0.42	0.42	0.21	0.21	3.54	3.54		
01069	AL	SE	"AL,HOUSTON"	0.35	0.35	0.28	0.28	2.49	2.47	0.14	0.14	0.04	0.04	0.06	0.06	0.14	0.14	0.42	0.42	0.21	0.21	3.54	3.54		
01071	AL	SE	"AL,JACKSON"	0.37	0.38	0.83	0.28	24.83	24.01	0.14	0.14	0.04	0.04	0.2	0.06	0.14	0.14	0.45	0.48	0.21	0.21	3.54	3.54		
01073	AL	SE	"AL,JEFFERSON"	0.35	0.35	0.28	0.28	0.78	0.57	0.14	0.14	0.04	0.04	0.24	0.06	0.14	0.14	0.42	0.42	0.21	0.21	3.54	3.54		
01075	AL	SE	"AL,LAMAR"	0.35	0.35	0.28	0.28	0.57	0.57	0.29	0.14	0.04	0.04	3.29	0.06	0.14	0.14	0.42	0.42	0.21	0.21	3.54	3.54		
01077	AL	SE	"AL,LAUDERDALE"	0.35	0.35	0.28	0.28	1.05	1.03	0.14	0.14	0.04	0.04	0.13	0.06	0.14	0.14	0.42	0.42	0.21	0.21	3.54	3.54		
01079	AL	SE	"AL,LAWRENCE"	0.35	0.35	0.28	0.28	0.57	0.57	0.14	0.14	0.04	0.04	0.06	0.06	0.14	0.14	0.42	0.42	0.21	0.21	3.54	3.54		
01081	AL	SE	"AL,LEE"	0.35	0.35	0.28	0.28	26	9.66	0.15	0.15	0.04	0.04	0.81	0.06	0.19	0.23	0.42	0.42	0.21	0.21	3.97	4.4		
01083	AL	SE	"AL,LIMESTONE"	0.37	0.37	0.28	0.28	3.3	2.2	0.14	0.14	0.04	0.04	0.26	0.47	0.14	0.14	0.42	0.42	0.21	0.21	3.54	3.54		
01085	AL	SE	"AL,LOWNDES"	0.47	0.35	0.28	0.28	8.44	0.57	0.14	0.14	0.04	0.04	0.29	0.06	0.14	0.14	0.87	0.42	0.21	0.21	3.54	3.54		
01087	AL	SE	"AL,MACON"	0.35	0.35	0.28	0.28	26.18	30.44	0.15	0.15	0.04	0.04	0.06	0.06	0.16	0.18	0.42	0.42	0.21	0.21	3.54	3.54		
01089	AL	SE	"AL,MADISON"	0.36	0.35	0.28	0.28	4.38	4.13	0.16	0.14	0.04	0.04	0.2	0.06	0.14	0.14	0.54	0.43	0.21	0.21	3.54	3.54		
01091	AL	SE	"AL,MARENGO"	0.35	0.35	0.28	0.28	0.57	0.57	0.14	0.14	0.04	0.04	0.06	0.06	0.14	0.14	0.42	0.42	0.21	0.21	3.54	3.54		
01093	AL	SE	"AL,MARION"	0.38	0.36	0.28	0.28	6.56	8.11	0.14	0.14	0.04	0.04	0.09	0.13	0.14	0.14	0.51	0.42	0.21	0.21	3.54	3.54		
01095	AL	SE	"AL,MARSHALL"	0.35	0.35	0.28	0.28	17.64	11.39	0.14	0.14	0.04	0.04	0.47	0.87	0.15	0.16	0.42	0.42	0.21	0.21	3.54	3.54		
01097	AL	SE	"AL,MOBILE"	0.35	0.35	0.28	0.28	7.51	3.83	0.14	0.14	0.04	0.04	0.07	0.06	0.14	0.14	0.42	0.42	0.21	0.21	3.85	3.6		
01099	AL	SE	"AL,MONROE"	0.35	0.35	0.28	0.28	5.87	0.57	0.14	0.14	0.04	0.04	0.06	0.06	0.14	0.14	0.43	0.42	0.21	0.21	4.11	4.68	999999	999999
01101	AL	SE	"AL,MONTGOMERY"	0.35	0.35	0.28	0.28	23.2	16.98	0.14	0.14	0.04	0.04	2.32	0.06	0.14	0.14	0.42	0.42	0.21	0.21	3.62	3.54		
01103	AL	SE	"AL,MORGAN"	0.35	0.35	0.28	0.28	0.57	0.57	0.14	0.14	0.04	0.04	0.06	0.06	0.14	0.14	0.42	0.42	0.21	0.21	3.54	3.54		
01105	AL	SE	"AL,PERRY"	0.35	0.35	0.28	0.28	145.16	103.52	0.14	0.14	0.04	0.04	0.06	0.06	0.14	0.14	0.42	0.42	0.21	0.21	3.54	3.54		
01107	AL	SE	"AL,PICKENS"	0.35	0.35	0.28	0.28	3.41	0.57	0.14	0.14	0.04	0.04	0.06	0.06	0.14	0.14	0.42	0.42	0.21	0.21	3.54	3.54		
01109	AL	SE	"AL,PIKE"	0.35	0.35	0.28	0.28	5	9.43	0.14	0.14	0.06	0.04	0.06	0.06	0.14	0.14	0.61	0.8	0.21	0.21	4.69	3.54		
01111	AL	SE	"AL,RANDOLPH"	0.35	0.35	0.28	0.28	5.72	7.52	0.3	0.43	0.04	0.04	0.06	0.06	0.23	0.31	0.42	0.42	0.21	0.21	5.02	6.23		
01113	AL	SE	"AL,RUSSELL"	0.35	0.35	0.28	0.28	14.69	13.96	0.14	0.14	0.04	0.04	0.06	0.06	0.14	0.14	0.42	0.42	0.21	0.21	3.54	3.54		
01115	AL	SE	"AL,ST.CLAIR"	0.35	0.35	0.28	0.28	3.15	3.23	0.16	0.14	0.04	0.04	0.22	0.38	0.14	0.14	1.38	0.42	0.21	0.21	3.54	3.54		
