CountyFIPS	State.Code	Region	Full.Name	AsWeightedAvg20062011	AsWeightedAvg20082010	SbWeightedAvg20062011	SbWeightedAvg20082010	BaWeightedAvg20062011	BaWeightedAvg20082010	BeWeightedAvg20062011	BeWeightedAvg20082010	CdWeightedAvg20062011	CdWeightedAvg20082010	CrWeightedAvg20062011	CrWeightedAvg20082010	HgWeightedAvg20062011	HgWeightedAvg20082010	SeWeightedAvg20062011	SeWeightedAvg20082010	TlWeightedAvg20062011	TlWeightedAvg20082010	CNWeightedAvg20062011	CNWeightedAvg20082010	UWeightedAvg20002011	UWeightedAvg20082011	TOT_POP	IAC_MALE	IAC_FEMALE	TOT_IAC_POP	PER_IAC_POP	H_MALE	H_FEMALE	TOT_H_POP	PER_H_POP
06051	CA	SW	"CA,MONO"	10.68	6.54	0.29	0.29	10.46	12.31	0.14	0.14	0.04	0.04	0.67	1.27	0.14	0.14	0.43	0.44	0.21	0.21	3.54	3.54	26.07	25.74	13196	289	292	581	0.044028493	1847	1648	3495	0.264852986
16075	ID	PNW	"ID,PAYETTE"	9.9	11.85	0.28	0.28	8.49	16.91	0.14	0.14	0.04	0.04	2.87	4.07	0.14	0.14	0.42	0.42	0.21	0.21	3.54	3.54	7.81	1.24	25385	418	396	814	0.032066181	2206	2073	4279	0.168564113
20039	KS	CMW	"KS,DECATUR"	9.94	10.1	0.28	0.28	121.84	119.23	0.14	0.14	0.04	0.04	4.6	3.13	0.14	0.14	13.48	11.51	0.21	0.21			45.03	41.82	2752	18	24	42	0.015261628	38	49	87	0.031613372
20093	KS	CMW	"KS,KEARNY"	1.51	1.43	0.28	0.28	29.12	31.22	0.14	0.14	0.04	0.04	1.75	1.3	0.14	0.14	7.66	6.82	0.21	0.21			33.13	31.24	3980	65	57	122	0.030653266	729	664	1393	0.35
20153	KS	CMW	"KS,RAWLINS"	12.69	12.57	0.28	0.28	88.7	90.75	0.14	0.14	0.04	0.04	4.44	3.88	0.14	0.14	8.91	7.62	0.21	0.21			27.92	21.96	2568	18	20	38	0.014797508	96	84	180	0.070093458
20165	KS	CMW	"KS,RUSH"	4.96	5.24	0.28	0.28	99.56	94.1	0.14	0.14	0.04	0.04	3.16	1.88	0.14	0.14	3.11	1.94	0.21	0.21			37	999999	2957	27	28	55	0.018599932	73	64	137	0.046330741
20171	KS	CMW	"KS,SCOTT"	10.82	11.69	0.28	0.28	80.17	79.75	0.14	0.14	0.04	0.04	8.27	7.45	0.14	0.14	14.91	14.75	0.21	0.21			20	22.5	5145	50	40	90	0.017492711	565	457	1022	0.198639456
30043	MT	PNW	"MT,JEFFERSON"	2.9	2.01	0.28	0.28	17.59	4.02	0.14	0.14	0.04	0.04	0.06	0.06	0.14	0.14	0.58	0.64	0.21	0.21			28.72	33.76	12082	223	248	471	0.038983612	152	136	288	0.023837113
31013	NE	CMW	"NE,BOXBUTTE"	8.88	9.01	0.28	0.28	53.34	66.13	0.14	0.14	0.04	0.04	5.94	7.75	0.14	0.14	4.25	3.53	0.21	0.21	3.54	3.54	31.73	28.25	10833	309	332	641	0.059171051	627	638	1265	0.116772824
31039	NE	CMW	"NE,CUMING"	2.18	4.33	0.28	0.28	283.27	285.09	0.14	0.14	0.04	0.04	7.46	8.75	0.14	0.14	12.86	16.01	0.21	0.21	3.54	3.54	32.97	20.86	9012	61	52	113	0.012538837	587	518	1105	0.122614292
31049	NE	CMW	"NE,DEUEL"	10.27	8.48	0.28	0.28	200.64	200.64	0.14	0.14	0.04	0.04	6.19	6.19	0.14	0.14	0.42	0.42	0.21	0.21	3.54	3.54	13.16	15.16	1839	22	23	45	0.024469821	59	53	112	0.060902664
31057	NE	CMW	"NE,DUNDY"	12.37	12.46	0.28	0.28	114.63	103	0.14	0.14	0.04	0.04	4.52	6.44	0.14	0.14	15.03	26.6	0.21	0.21	3.54	3.54	48.64	48.6	1654	23	21	44	0.026602177	59	57	116	0.070133011
31065	NE	CMW	"NE,FURNAS"	7.98	7.83	0.28	0.28	214.13	213.72	0.14	0.14	0.04	0.04	7.12	9.01	0.14	0.14	5.77	5.85	0.21	0.21	3.54	3.54	40.38	52.36	4638	33	30	63	0.013583441	121	97	218	0.047003019
31079	NE	CMW	"NE,HALL"	2.59	999999	0.28	0.28	110.95	117.6	0.14	0.14	0.04	0.04	6.85	6.12	0.14	0.14	3.28	1.44	0.21	0.21	3.54	3.54	33.26	33.06	62900	1002	949	1951	0.031017488	10205	8955	19160	0.304610493
